Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Season
V Mbazo (BOT),6,3,0,18,8,6.00,20,90.00,0,0,0,1,1,2022/23
V Mbazo (BOT),4,4,1,46,31*,15.33,28,164.28,0,0,0,5,1,2021/22
V Mbazo (BOT),11,10,2,83,23,10.37,105,79.04,0,0,1,3,3,2023
V Mbazo (BOT),4,4,0,33,27,8.25,34,97.05,0,0,2,4,1,2022
V Mbazo (BOT),4,3,1,51,27*,25.50,67,76.11,0,0,0,3,0,2019
V Marghashayam (CZK-R),2,1,1,1,1*,-,1,100.0,0,0,0,0,0,2023
V Manakitoga (Fiji),2,-,-,-,-,-,-,-,-,-,-,-,-,2022/23
V Kohli (IND),2,2,0,29,29,14.50,17,170.58,0,0,1,5,0,2023/24
V Kohli (IND),8,8,4,348,82*,87.00,254,137.00,0,4,0,32,9,2022/23
V Kohli (IND),7,5,1,137,57,34.25,122,112.29,0,2,0,13,2,2021/22
V Kohli (IND),8,8,3,365,85,73.00,251,145.41,0,4,1,27,14,2020/21
V Kohli (IND),12,11,4,425,94*,60.71,277,153.42,0,3,0,27,21,2019/20
V Kohli (IND),5,4,2,161,72*,80.50,104,154.80,0,2,0,9,8,2018/19
V Kohli (IND),5,5,1,119,47,29.75,99,120.20,0,0,1,4,5,2018
V Kohli (IND),7,7,2,153,65,30.60,100,153.00,0,1,1,14,6,2017/18
V Kohli (IND),2,2,0,121,82,60.50,76,159.21,0,1,0,14,2,2017
V Kohli (IND),3,3,0,52,29,17.33,45,115.55,0,0,0,6,1,2016/17
