player_id,Player,Mat,SR,Overs,Wkts,Econ,D/I
7990dc16,Muhammet Bicer,6,85.71,1.0,0.0,5.0,0.2
1afd4f89,S Vats,5,0.0,16.0,0.0,8.68,0.0
16c50be4,P Dhiman,4,74.54,0.0,0.0,0.0,0.75
5a42db78,Abdullah Jasat,10,110.86,31.0,9.0,7.7,0.0
12b610c2,TM Head,38,160.49,6.0,1.0,9.33,0.21
6969d364,Maidul Islam,12,96.64,0.0,0.0,0.0,0.083
8ae49076,Sathya Narayanan,5,68.62,0.0,0.0,0.0,1.2
2306b48a,Kuldeep Gurjar,2,28.57,2.0,0.0,18.5,0.0
eba6a852,SCJ Broad,56,100.0,195.3,65.0,7.62,0.375
12f53be7,Abdul Rahman,10,104.25,10.0,4.0,7.2,0.0
321fcf79,S Singh,5,0.0,1.0,0.0,8.0,0.0
fe3e9880,SG Diaby,9,106.25,17.0,2.0,8.52,0.0
244048f6,Arshdeep Singh,56,115.21,192.4,87.0,8.28,0.267
1be70c88,LPC Silva,16,98.87,3.0,1.0,5.0,0.312
19758a47,CG Osborne,2,44.0,4.0,3.0,8.0,0.0
f88dc8de,RB Patel,42,103.33,0.0,0.0,0.0,0.146
3ee90b67,Khalid Kail,21,110.52,0.0,0.0,0.0,0.047
927a5ef5,Anam Mollik,2,90.0,0.0,0.0,0.0,0.5
863bfcc9,J Long,2,33.33,2.0,1.0,13.0,0.5
61fb296e,TL Chivanga,3,0.0,6.3,0.0,10.76,0.333
1adb8ee8,Sompal Kami,74,111.9,233.4,70.0,7.14,0.337
4d0d5b7d,I Elec,12,64.7,19.0,6.0,6.31,0.181
c8a18d94,C Hauptfleisch,5,81.17,0.0,0.0,0.0,0.4
f8bd71c9,Atif Kamal,15,75.86,46.0,15.0,6.67,0.4
30a45b23,SPD Smith,67,125.45,48.3,17.0,7.77,0.611
