team1,team2,gender,season,date,venue,city,toss_winner,toss_decision,winner,match_id
Australia,New Zealand,female,2018/19,2018/11/13,Providence Stadium,Guyana,Australia,bat,Australia,1150542
Sri Lanka,Bangladesh,female,2018/19,2018/11/14,"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,Bangladesh,field,Sri Lanka,1150543
West Indies,South Africa,female,2018/19,2018/11/14,"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,South Africa,field,West Indies,1150544
India,Ireland,female,2018/19,2018/11/15,Providence Stadium,Guyana,Ireland,field,India,1150545
New Zealand,Pakistan,female,2018/19,2018/11/15,Providence Stadium,Guyana,Pakistan,field,New Zealand,1150546
South Africa,England,female,2018/19,2018/11/16,"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,South Africa,bat,England,1150547
West Indies,Sri Lanka,female,2018/19,2018/11/16,"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,West Indies,bat,West Indies,1150548
India,Australia,female,2018/19,2018/11/17,Providence Stadium,Guyana,India,bat,India,1150549
Ireland,New Zealand,female,2018/19,2018/11/17,Providence Stadium,Guyana,Ireland,bat,New Zealand,1150550
England,West Indies,female,2018/19,2018/11/18,"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,West Indies,field,West Indies,1150551
