team1,team2,gender,season,date,venue,city,toss_winner,toss_decision,winner,match_id
South Africa,Bangladesh,female,2018/19,2018/11/18,"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,Bangladesh,field,South Africa,1150552
Australia,West Indies,female,2018/19,2018/11/22,"Sir Vivian Richards Stadium, North Sound",Antigua,West Indies,field,Australia,1150553
India,England,female,2018/19,2018/11/22,"Sir Vivian Richards Stadium, North Sound",Antigua,India,bat,England,1150554
England,Australia,female,2018/19,2018/11/24,"Sir Vivian Richards Stadium, North Sound",Antigua,England,bat,Australia,1150555
England,Pakistan,male,2019,2019/05/05,Sophia Gardens,Cardiff,Pakistan,bat,England,1152840
Bangladesh,West Indies,male,2018/19,2018/12/17,Sylhet International Cricket Stadium,Sylhet,Bangladesh,bat,West Indies,1153317
Bangladesh,West Indies,male,2018/19,2018/12/20,"Shere Bangla National Stadium, Mirpur",Dhaka,West Indies,field,Bangladesh,1153318
Bangladesh,West Indies,male,2018/19,2018/12/22,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,field,West Indies,1153319
New Zealand,India,male,2018/19,2019/02/06,Westpac Stadium,Wellington,India,field,New Zealand,1153696
New Zealand,India,male,2018/19,2019/02/08,Eden Park,Auckland,New Zealand,bat,India,1153697
New Zealand,India,male,2018/19,2019/02/10,Seddon Park,Hamilton,India,field,New Zealand,1153698
New Zealand,Sri Lanka,male,2018/19,2019/01/11,Eden Park,Auckland,Sri Lanka,field,New Zealand,1153843
New Zealand,India,female,2018/19,2019/02/06,Westpac Stadium,Wellington,India,field,New Zealand,1153858
New Zealand,India,female,2018/19,2019/02/08,Eden Park,Auckland,New Zealand,field,New Zealand,1153859
New Zealand,India,female,2018/19,2019/02/10,Seddon Park,Hamilton,New Zealand,bat,New Zealand,1153860
South Africa,West Indies,female,2018,2018/09/28,"Brian Lara Stadium, Tarouba",Trinidad,West Indies,field,West Indies,1156216
West Indies,South Africa,female,2018,2018/10/04,"Brian Lara Stadium, Tarouba",Trinidad,South Africa,field,South Africa,1156218
West Indies,South Africa,female,2018,2018/10/06,"Brian Lara Stadium, Tarouba",Trinidad,South Africa,field,South Africa,1156219
Pakistan,Australia,male,2018/19,2018/10/24,Sheikh Zayed Stadium,Abu Dhabi,Australia,field,Pakistan,1157372
Pakistan,Australia,male,2018/19,2018/10/26,Dubai International Cricket Stadium,,Pakistan,bat,Pakistan,1157373
Pakistan,Australia,male,2018/19,2018/10/28,Dubai International Cricket Stadium,,Pakistan,bat,Pakistan,1157374
Pakistan,New Zealand,male,2018/19,2018/10/31,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,bat,Pakistan,1157375
New Zealand,Pakistan,male,2018/19,2018/11/02,Dubai International Cricket Stadium,,New Zealand,bat,Pakistan,1157376
Pakistan,New Zealand,male,2018/19,2018/11/04,Dubai International Cricket Stadium,,Pakistan,bat,Pakistan,1157377
Sri Lanka,India,female,2018,2018/09/22,Colombo Cricket Club Ground,,India,field,India,1157711
Sri Lanka,India,female,2018,2018/09/24,Colombo Cricket Club Ground,,India,field,India,1157712
India,Sri Lanka,female,2018,2018/09/25,Chilaw Marians Cricket Club Ground,FTZ Sports Complex,Sri Lanka,field,India,1157713
West Indies,India,male,2018/19,2018/11/04,Eden Gardens,Kolkata,India,field,India,1157759
India,West Indies,male,2018/19,2018/11/06,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,West Indies,field,India,1157760
West Indies,India,male,2018/19,2018/11/11,"MA Chidambaram Stadium, Chepauk",Chennai,West Indies,bat,India,1157761
West Indies,England,male,2018/19,2019/03/05,"Darren Sammy National Cricket Stadium, St Lucia",Gros Islet,England,field,England,1158071
West Indies,England,male,2018/19,2019/03/08,"Warner Park, St Kitts",Basseterre,West Indies,field,England,1158072
West Indies,England,male,2018/19,2019/03/10,"Warner Park, St Kitts",Basseterre,West Indies,bat,England,1158073
Botswana,Lesotho,female,2018,2018/08/20,Botswana Cricket Association Oval 1,Gaborone,Lesotho,field,Botswana,1158344
Malawi,Namibia,female,2018,2018/08/20,Botswana Cricket Association Oval 2,Gaborone,Namibia,field,Namibia,1158345
Sierra Leone,Namibia,female,2018,2018/08/21,Botswana Cricket Association Oval 1,Gaborone,Namibia,field,Namibia,1158348
Mozambique,Lesotho,female,2018,2018/08/21,Botswana Cricket Association Oval 2,Gaborone,Lesotho,field,Mozambique,1158349
Mozambique,Botswana,female,2018,2018/08/21,Botswana Cricket Association Oval 1,Gaborone,Mozambique,bat,Botswana,1158350
Botswana,Sierra Leone,female,2018,2018/08/23,Botswana Cricket Association Oval 1,Gaborone,Sierra Leone,field,Sierra Leone,1158352
Mozambique,Namibia,female,2018,2018/08/23,Botswana Cricket Association Oval 2,Gaborone,Mozambique,bat,Namibia,1158353
Namibia,Lesotho,female,2018,2018/08/23,"Botswana Cricket Association Oval 1, Gaborone",Gaborone,Lesotho,field,Namibia,1158354
Sierra Leone,Malawi,female,2018,2018/08/23,Botswana Cricket Association Oval 2,Gaborone,Sierra Leone,bat,Sierra Leone,1158355
Sierra Leone,Lesotho,female,2018,2018/08/24,Botswana Cricket Association Oval 1,Gaborone,Sierra Leone,bat,Sierra Leone,1158356
Botswana,Namibia,female,2018,2018/08/24,Botswana Cricket Association Oval 1,Gaborone,Namibia,field,Namibia,1158358
Lesotho,Malawi,female,2018,2018/08/25,Botswana Cricket Association Oval 1,Gaborone,Malawi,field,Malawi,1158359
Sierra Leone,Namibia,female,2018,2018/08/25,Botswana Cricket Association Oval 1,Gaborone,Namibia,field,Namibia,1158361
Australia,Pakistan,female,2018/19,2018/10/25,Kinrara Academy Oval,Kuala Lumpur,Australia,bat,Australia,1161231
Pakistan,Australia,female,2018/19,2018/10/27,Kinrara Academy Oval,Kuala Lumpur,Australia,field,Australia,1161232
Pakistan,Australia,female,2018/19,2018/10/29,Kinrara Academy Oval,Kuala Lumpur,Australia,field,Australia,1161233
United Arab Emirates,Australia,male,2018/19,2018/10/22,Tolerance Oval,Abu Dhabi,United Arab Emirates,bat,Australia,1162727
England,West Indies,female,2019,2019/06/21,County Ground,Northampton,England,bat,England,1168020
England,Australia,female,2019,2019/07/26,County Ground,Chelmsford,England,field,Australia,1168026
England,Australia,female,2019,2019/07/28,"County Ground, Hove",Brighton,England,bat,Australia,1168027
England,Australia,female,2019,2019/07/31,County Ground,Bristol,Australia,field,England,1168028
Afghanistan,Ireland,male,2018/19,2019/02/21,"Rajiv Gandhi International Cricket Stadium, Dehradun",Dehra Dun,Ireland,bat,Afghanistan,1168112
Afghanistan,Ireland,male,2018/19,2019/02/23,"Rajiv Gandhi International Cricket Stadium, Dehradun",Dehra Dun,Afghanistan,bat,Afghanistan,1168113
Afghanistan,Ireland,male,2018/19,2019/02/24,"Rajiv Gandhi International Cricket Stadium, Dehradun",Dehra Dun,Ireland,field,Afghanistan,1168114
South Africa,Sri Lanka,female,2018/19,2019/02/01,Newlands,Cape Town,Sri Lanka,bat,South Africa,1168160
South Africa,Sri Lanka,female,2018/19,2019/02/06,SuperSport Park,Centurion,Sri Lanka,field,South Africa,1168162
India,Australia,male,2018/19,2019/02/24,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Australia,field,Australia,1168247
India,Australia,male,2018/19,2019/02/27,M.Chinnaswamy Stadium,Bengaluru,Australia,field,Australia,1168248
Ireland,Zimbabwe,male,2019,2019/07/12,"Bready Cricket Club, Magheramason",Bready,Ireland,field,Ireland,1168521
Ireland,Zimbabwe,male,2019,2019/07/14,Bready,Derry,Zimbabwe,field,Zimbabwe,1168522
United Arab Emirates,Nepal,male,2018/19,2019/01/31,ICC Academy,Dubai,Nepal,field,United Arab Emirates,1170457
United Arab Emirates,Nepal,male,2018/19,2019/02/01,ICC Academy,Dubai,United Arab Emirates,bat,Nepal,1170458
United Arab Emirates,Nepal,male,2018/19,2019/02/03,ICC Academy,Dubai,United Arab Emirates,field,Nepal,1170459
India,England,female,2018/19,2019/03/04,Barsapara Cricket Stadium,Guwahati,India,field,England,1172163
India,England,female,2018/19,2019/03/07,Barsapara Cricket Stadium,Guwahati,England,field,England,1172164
India,England,female,2018/19,2019/03/09,Barsapara Cricket Stadium,Guwahati,England,bat,England,1172165
Pakistan,West Indies,female,2018/19,2019/01/31,Southend Club Cricket Stadium,Karachi,West Indies,bat,West Indies,1172469
Pakistan,West Indies,female,2018/19,2019/02/03,Southend Club Cricket Stadium,Karachi,Pakistan,bat,Pakistan,1172471
Netherlands,Scotland,male,2018/19,2019/02/13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Netherlands,field,Netherlands,1172505
Oman,Ireland,male,2018/19,2019/02/13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,field,Ireland,1172506
Oman,Netherlands,male,2018/19,2019/02/15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Netherlands,field,Netherlands,1172507
Ireland,Scotland,male,2018/19,2019/02/15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Scotland,field,Scotland,1172508
Ireland,Netherlands,male,2018/19,2019/02/17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Ireland,field,Ireland,1172509
Oman,Scotland,male,2018/19,2019/02/17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Scotland,field,Scotland,1172510
Thailand,China,female,2018/19,2019/02/18,Terdthai Cricket Ground,Bangkok,Thailand,field,Thailand,1172910
Kuwait,Malaysia,female,2018/19,2019/02/18,Asian Institute of Technology Ground,Bangkok,Kuwait,field,Malaysia,1172911
Hong Kong,United Arab Emirates,female,2018/19,2019/02/18,Asian Institute of Technology Ground,Bangkok,United Arab Emirates,bat,United Arab Emirates,1172912
Malaysia,Nepal,female,2018/19,2019/02/19,Terdthai Cricket Ground,Bangkok,Nepal,bat,Nepal,1172913
China,Hong Kong,female,2018/19,2019/02/19,Terdthai Cricket Ground,Bangkok,China,field,China,1172914
Kuwait,United Arab Emirates,female,2018/19,2019/02/19,Asian Institute of Technology Ground,Bangkok,United Arab Emirates,bat,United Arab Emirates,1172915
Malaysia,United Arab Emirates,female,2018/19,2019/02/21,Terdthai Cricket Ground,Bangkok,United Arab Emirates,bat,United Arab Emirates,1172916
Thailand,Nepal,female,2018/19,2019/02/21,Asian Institute of Technology Ground,Bangkok,Thailand,bat,Thailand,1172917
China,Kuwait,female,2018/19,2019/02/21,Asian Institute of Technology Ground,Bangkok,China,field,China,1172918
Nepal,United Arab Emirates,female,2018/19,2019/02/22,Terdthai Cricket Ground,Bangkok,United Arab Emirates,bat,Nepal,1172919
Thailand,Hong Kong,female,2018/19,2019/02/22,Asian Institute of Technology Ground,Bangkok,Thailand,bat,Thailand,1172920
China,Malaysia,female,2018/19,2019/02/22,Terdthai Cricket Ground,Bangkok,Malaysia,bat,China,1172921
China,United Arab Emirates,female,2018/19,2019/02/24,Terdthai Cricket Ground,Bangkok,China,field,United Arab Emirates,1172922
Thailand,Kuwait,female,2018/19,2019/02/24,Asian Institute of Technology Ground,Bangkok,Kuwait,bat,Thailand,1172923
Hong Kong,Nepal,female,2018/19,2019/02/24,Asian Institute of Technology Ground,Bangkok,Hong Kong,bat,Nepal,1172924
Thailand,Malaysia,female,2018/19,2019/02/25,Terdthai Cricket Ground,Bangkok,Malaysia,field,Thailand,1172925
China,Nepal,female,2018/19,2019/02/25,Terdthai Cricket Ground,Bangkok,China,field,Nepal,1172926
Hong Kong,Kuwait,female,2018/19,2019/02/25,Asian Institute of Technology Ground,Bangkok,Hong Kong,field,Hong Kong,1172927
Kuwait,Nepal,female,2018/19,2019/02/27,Asian Institute of Technology Ground,Bangkok,Kuwait,field,Nepal,1172929
Thailand,United Arab Emirates,female,2018/19,2019/02/27,Asian Institute of Technology Ground,Bangkok,Thailand,bat,Thailand,1172930
Australia,India,female,2019/20,2020/02/21,Sydney Showground Stadium,Sydney,Australia,field,India,1173048
Thailand,West Indies,female,2019/20,2020/02/22,W.A.C.A. Ground,Perth,Thailand,bat,West Indies,1173049
New Zealand,Sri Lanka,female,2019/20,2020/02/22,W.A.C.A. Ground,Perth,New Zealand,field,New Zealand,1173050
England,South Africa,female,2019/20,2020/02/23,W.A.C.A. Ground,Perth,South Africa,field,South Africa,1173051
Australia,Sri Lanka,female,2019/20,2020/02/24,W.A.C.A. Ground,Perth,Sri Lanka,bat,Australia,1173052
Bangladesh,India,female,2019/20,2020/02/24,W.A.C.A. Ground,Perth,Bangladesh,field,India,1173053
England,Thailand,female,2019/20,2020/02/26,Manuka Oval,Canberra,Thailand,field,England,1173054
Pakistan,West Indies,female,2019/20,2020/02/26,Manuka Oval,Canberra,West Indies,bat,Pakistan,1173055
India,New Zealand,female,2019/20,2020/02/27,Junction Oval,Melbourne,New Zealand,field,India,1173056
Australia,Bangladesh,female,2019/20,2020/02/27,Manuka Oval,Canberra,Australia,bat,Australia,1173057
South Africa,Thailand,female,2019/20,2020/02/28,Manuka Oval,Canberra,South Africa,bat,South Africa,1173058
England,Pakistan,female,2019/20,2020/02/28,Manuka Oval,Canberra,Pakistan,field,England,1173059
Bangladesh,New Zealand,female,2019/20,2020/02/29,Junction Oval,Melbourne,New Zealand,bat,New Zealand,1173060
India,Sri Lanka,female,2019/20,2020/02/29,Junction Oval,Melbourne,Sri Lanka,bat,India,1173061
Pakistan,South Africa,female,2019/20,2020/03/01,Sydney Showground Stadium,Sydney,South Africa,bat,South Africa,1173062
England,West Indies,female,2019/20,2020/03/01,Sydney Showground Stadium,Sydney,England,bat,England,1173063
Bangladesh,Sri Lanka,female,2019/20,2020/03/02,Junction Oval,Melbourne,Bangladesh,bat,Sri Lanka,1173064
Australia,New Zealand,female,2019/20,2020/03/02,Junction Oval,Melbourne,New Zealand,field,Australia,1173065
Australia,South Africa,female,2019/20,2020/03/05,Sydney Cricket Ground,Sydney,South Africa,field,Australia,1173069
Australia,India,female,2019/20,2020/03/08,Melbourne Cricket Ground,Melbourne,Australia,bat,Australia,1173070
Sri Lanka,England,female,2018/19,2019/03/24,P Sara Oval,Colombo,Sri Lanka,bat,England,1176435
Sri Lanka,England,female,2018/19,2019/03/26,P Sara Oval,Colombo,Sri Lanka,bat,England,1176436
Sri Lanka,England,female,2018/19,2019/03/28,P Sara Oval,Colombo,Sri Lanka,field,England,1176437
Papua New Guinea,Philippines,male,2018/19,2019/03/22,Amini Park,Port Moresby,Philippines,field,Papua New Guinea,1176792
Papua New Guinea,Vanuatu,male,2018/19,2019/03/22,Amini Park,Port Moresby,Vanuatu,bat,Papua New Guinea,1176793
Philippines,Vanuatu,male,2018/19,2019/03/23,Amini Park,Port Moresby,Vanuatu,bat,Vanuatu,1176794
Philippines,Vanuatu,male,2018/19,2019/03/24,Amini Park,Port Moresby,Vanuatu,field,Philippines,1176796
Papua New Guinea,Vanuatu,male,2018/19,2019/03/24,Amini Park,Port Moresby,Vanuatu,bat,Papua New Guinea,1176797
South Africa,Pakistan,female,2019,2019/05/15,LC de Villiers Oval,Pretoria,Pakistan,field,Pakistan,1177018
South Africa,Pakistan,female,2019,2019/05/18,City Oval,Pietermaritzburg,Pakistan,bat,South Africa,1177019
South Africa,Pakistan,female,2019,2019/05/19,City Oval,Pietermaritzburg,Pakistan,field,Pakistan,1177020
South Africa,Pakistan,female,2019,2019/05/22,Willowmoore Park,Benoni,South Africa,field,South Africa,1177021
South Africa,Pakistan,female,2019,2019/05/23,Willowmoore Park,Benoni,South Africa,field,South Africa,1177022
United Arab Emirates,United States of America,male,2018/19,2019/03/16,ICC Academy,Dubai,United Arab Emirates,bat,United Arab Emirates,1177485
Germany,Italy,male,2019,2019/05/25,Sportpark Maarschalkerweerd,Utrecht,Italy,field,Italy,1178996
Namibia,Botswana,female,2019,2019/04/01,United Cricket Club Ground,Windhoek,Namibia,field,Namibia,1179016
Namibia,Botswana,female,2019,2019/04/03,United Cricket Club Ground,Windhoek,Namibia,bat,Namibia,1179017
Namibia,Botswana,female,2019,2019/04/03,United Cricket Club Ground,Windhoek,Namibia,bat,Namibia,1179018
Namibia,Botswana,female,2019,2019/04/02,United Cricket Club Ground,Windhoek,Botswana,field,Namibia,1179610
Namibia,Botswana,female,2019,2019/04/02,United Cricket Club Ground,Windhoek,Botswana,bat,Namibia,1179611
Zimbabwe,Mozambique,female,2019,2019/05/05,Old Hararians,Harare,Zimbabwe,bat,Zimbabwe,1182642
Sierra Leone,Uganda,female,2019,2019/05/05,Old Hararians,Harare,Uganda,bat,Uganda,1182644
Mozambique,Nigeria,female,2019,2019/05/06,Old Hararians,Harare,Nigeria,field,Nigeria,1182646
Namibia,Uganda,female,2019,2019/05/06,Old Hararians,Harare,Uganda,field,Namibia,1182648
Zimbabwe,Tanzania,female,2019,2019/05/06,Takashinga Sports Club,Harare,Zimbabwe,bat,Zimbabwe,1182649
Mozambique,Rwanda,female,2019,2019/05/08,Old Hararians,Harare,Mozambique,bat,Rwanda,1182650
Kenya,Uganda,female,2019,2019/05/08,Old Hararians,Harare,Uganda,bat,Uganda,1182652
Namibia,Sierra Leone,female,2019,2019/05/08,Takashinga Sports Club,Harare,Sierra Leone,bat,Namibia,1182653
Zimbabwe,Rwanda,female,2019,2019/05/09,Old Hararians,Harare,Zimbabwe,bat,Zimbabwe,1182654
Zimbabwe,Nigeria,female,2019,2019/05/11,Old Hararians,Harare,Nigeria,bat,Zimbabwe,1182656
Rwanda,Tanzania,female,2019,2019/05/11,Takashinga Sports Club,Harare,Tanzania,bat,Tanzania,1182657
Zimbabwe,Namibia,female,2019,2019/05/12,Harare Sports Club,Harare,Namibia,field,Zimbabwe,1182658
Vanuatu,Papua New Guinea,female,2019,2019/05/06,"Ground 1, Independence Park",Port Vila,Papua New Guinea,bat,Papua New Guinea,1182904
Indonesia,Japan,female,2019,2019/05/06,"Ground 2, Independence Park",Port Vila,Japan,bat,Indonesia,1182905
Indonesia,Papua New Guinea,female,2019,2019/05/06,"Ground 1, Independence Park",Port Vila,Indonesia,bat,Papua New Guinea,1182906
Fiji,Papua New Guinea,female,2019,2019/05/07,"Ground 2, Independence Park",Port Vila,Fiji,bat,Papua New Guinea,1182909
Vanuatu,Samoa,female,2019,2019/05/09,"Ground 1, Independence Park",Port Vila,Vanuatu,bat,Samoa,1182912
Fiji,Japan,female,2019,2019/05/09,"Ground 2, Independence Park",Port Vila,Japan,bat,Japan,1182913
Japan,Papua New Guinea,female,2019,2019/05/09,"Ground 1, Independence Park",Port Vila,Japan,bat,Papua New Guinea,1182914
Fiji,Indonesia,female,2019,2019/05/10,"Ground 1, Independence Park",Port Vila,Indonesia,field,Indonesia,1182916
Vanuatu,Japan,female,2019,2019/05/10,"Ground 2, Independence Park",Port Vila,Japan,bat,Vanuatu,1182917
Papua New Guinea,Samoa,female,2019,2019/05/10,"Ground 1, Independence Park",Port Vila,Papua New Guinea,field,Papua New Guinea,1182918
Australia,Sri Lanka,female,2019/20,2019/09/29,North Sydney Oval,Sydney,Australia,bat,Australia,1183510
Australia,Sri Lanka,female,2019/20,2019/09/30,North Sydney Oval,Sydney,Sri Lanka,bat,Australia,1183511
Australia,Sri Lanka,female,2019/20,2019/10/02,North Sydney Oval,Sydney,Australia,bat,Australia,1183512
Australia,Sri Lanka,male,2019/20,2019/10/27,Adelaide Oval,Adelaide,Sri Lanka,field,Australia,1183524
Australia,Sri Lanka,male,2019/20,2019/10/30,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Sri Lanka,bat,Australia,1183525
Australia,Sri Lanka,male,2019/20,2019/11/01,Melbourne Cricket Ground,Melbourne,Australia,field,Australia,1183526
Australia,Pakistan,male,2019/20,2019/11/05,Manuka Oval,Canberra,Pakistan,bat,Australia,1183528
Australia,Pakistan,male,2019/20,2019/11/08,Perth Stadium,Perth,Australia,field,Australia,1183529
England,India,female,2019/20,2020/01/31,Manuka Oval,Canberra,India,field,India,1183543
Australia,India,female,2019/20,2020/02/02,Manuka Oval,Canberra,Australia,field,Australia,1183545
England,India,female,2019/20,2020/02/07,Junction Oval,Melbourne,England,field,England,1183546
Australia,India,female,2019/20,2020/02/08,Junction Oval,Melbourne,India,field,India,1183547
Australia,England,female,2019/20,2020/02/09,Junction Oval,Melbourne,England,field,Australia,1183548
